neighborhood_council,2021,2022,2023,2024,2025
HOLLYWOOD UNITED NC,28986.8,30993.23,23735.37,34301.29,17609.89
LA-32 NC,40586.14,41273.88,35025.32,27680.96,23668.54
LAKE BALBOA NC,28687.31,33727.88,35805.65,23714.86,23814.07
LINCOLN HEIGHTS NC,28247.96,31750.52,18966.28,16669.61,20458.2
LOS FELIZ NC,33408.64,33894.05,34741.02,43443.75,22624.26
MACARTHUR PARK NC,38329.53,19252.31,17102.56,32684.69,38629.66
MAR VISTA NC,36228.4,23591.82,33249.77,35140.62,29102.87
MID CITY NC,29594.87,20564.86,44321.32,16286.92,7891.07
MID CITY WEST CC,34290.43,32248.4,34035.3,33356.33,31534.12
MISSION HILLS NC,17644.66,36323.38,19808.22,31555.85,27902.59
NC VALLEY VILLAGE,37248.33,16429.38,48039.87,33610.85,23296.61
NOHO NC,30784.52,32461.1,21275.79,36950.99,27527.39
NOHO WEST NC,35508.41,41940.87,24769.27,35693.79,20416.89
NORTH HILLS EAST NC,50966.59,28166.87,23226.13,33720.7,34272.67
NORTH HILLS WEST NC,43382.35,32447.68,32258.83,23313.35,13860.39
NORTH HOLLYWOOD NORTH EAST NC,27371.68,36491.22,13164.12,24019.33,39245.3
NORTH WESTWOOD NC,34268.66,13500.0,22405.3,49487.13,23927.56
NORTHRIDGE EAST NC,32334.16,24226.9,31945.86,12944.75,19899.23
NORTHRIDGE SOUTH NC,30981.4,31394.86,26382.36,34934.67,33917.04
NORTHRIDGE WEST NC,29897.94,25785.68,35829.78,32005.89,37567.37
NORTHWEST SAN PEDRO NC,30445.1,31618.64,31219.96,33581.06,20016.26
OLYMPIC PARK NC,45125.14,22221.76,22531.71,14126.32,43341.2
P.I.C.O. NC,44433.67,20755.66,27607.1,15925.14,33787.56
PACOIMA NC,37017.54,23825.28,33183.52,35573.55,41295.1
PALMS NC,46535.18,31981.8,32592.82,18852.91,30543.05
PANORAMA CITY NC,28274.64,20753.55,32993.45,39062.24,21518.19
PARK MESA HEIGHTS NC,30580.7,24793.19,10709.38,27432.34,8585.29
PICO UNION NC,26096.08,37608.69,29622.29,33891.69,31693.05
PORTER RANCH NC,26727.19,31948.61,24424.95,26560.38,17881.65
RAMPART VILLAGE NC,39026.27,30309.45,41845.56,23508.27,34169.07
RESEDA NC,30627.96,38271.22,25301.58,28242.26,28434.0
SHERMAN OAKS NC,40879.06,31488.91,34197.79,29393.73,18811.56
SILVER LAKE NC,36611.29,38675.22,30263.37,37482.8,7698.04
SOUTH CENTRAL NC,27569.08,22287.12,24107.96,27546.33,33565.76
SOUTH ROBERTSON NC,30619.97,26975.61,21274.34,42818.07,24174.5
STUDIO CITY NC,23728.71,17601.99,28394.58,36747.82,16439.35
SUN VALLEY AREA NC,28565.49,33869.91,40159.04,32055.93,26942.91
SUNLAND-TUJUNGA NC,35220.06,33397.74,38951.54,27532.87,20491.0
SYLMAR NC,27096.44,31926.17,32063.19,37573.84,26522.08
TARZANA NC,55445.37,19184.05,31755.49,35505.61,24025.47
UNITED NEIGHBORHOODS NC,19180.95,39300.79,40038.28,30914.0,21086.81
VAN NUYS NC,28609.05,36016.7,34385.7,22896.6,21987.83
VENICE NC,43893.02,19118.74,38455.32,30466.27,21869.43
VOICES NC,38127.31,27237.45,36958.93,18964.42,19603.68
WATTS NC,32694.12,37515.66,10014.23,37241.11,13642.28
WEST ADAMS NC,30578.76,28674.88,44400.47,22830.64,6874.81
WEST HILLS NC,33079.14,31224.4,36539.47,27769.43,22275.07
WEST LOS ANGELES SAWTELLE NC,37076.71,11798.3,31477.62,35366.82,27127.64
WESTCHESTER/PLAYA NC,28688.9,34442.28,29162.31,44215.05,19977.11
WESTLAKE NORTH NC,46843.52,31942.66,28987.31,38104.83,31118.3
WESTLAKE SOUTH NC,56007.27,9263.42,21744.48,18768.85,6284.17
WESTSIDE NC,32225.32,46408.47,27543.27,33951.57,19429.77
WESTWOOD NC,31897.34,20731.57,34374.69,24312.02,34408.82
WILMINGTON NC,40335.4,31847.6,41155.07,29407.43,24378.93
WILSHIRE CENTER - KOREATOWN NC,21655.91,3943.39,928.35,24331.03,22376.04
WINNETKA NC,27287.97,34917.23,25606.66,29616.36,11718.53
WOODLAND HILLS-WARNER CENTER NC,25707.94,39023.52,17723.83,36574.82,25268.89
ZAPATA-KING NC,19949.73,33617.53,31855.67,7130.89,23340.27
